0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:23:40 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:23:44 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:23:44 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:01 +0200] "GET /Oblig2_oppg1/ HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:05 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:05 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:10 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:10 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 500 775
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:14 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:14 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 500 775
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:19 +0200] "GET /Oblig2_oppg1/ HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:22 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:22 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:24 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:24 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:27 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:27 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:29 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:29 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:30 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:30 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:33 +0200] "POST /Oblig2_oppg1/Slett HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2018:14:24:33 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1640
