127.0.0.1 - - [05/Oct/2018:12:06:40 +0200] "GET / HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:06:41 +0200] "GET /Oblig2_oppg1/ HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:06:44 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:06:44 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:06:47 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:06:47 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:06:53 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:06:53 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:06:57 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:06:57 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:07:28 +0200] "GET /Oblig2_oppg1/ HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:07:32 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:07:32 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:07:49 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:07:49 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:07:50 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:07:51 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:07:54 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:10:00 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:10:00 +0200] "GET /Oblig2_oppg1/Innlogging?notLoggedIn HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:10:03 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:10:03 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:14:48 +0200] "GET /Oblig2_oppg1/ HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:15:01 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:15:01 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:15:05 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:15:05 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:15:08 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:15:08 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:15:12 +0200] "GET /Oblig2_oppg1/ HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:15:16 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:15:16 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:15:20 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:15:20 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:16:06 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:16:06 +0200] "GET /Oblig2_oppg1/Innlogging?notLoggedIn HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:16:09 +0200] "POST /Oblig2_oppg1/Innlogging HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:16:09 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:16:11 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:16:11 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:16:14 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:16:14 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:16:15 +0200] "POST /Oblig2_oppg1/Handleliste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:12:16:15 +0200] "GET /Oblig2_oppg1/Handleliste HTTP/1.1" 200 825
